"genre","start_year","average_rating","num_votes","primary_title","tconst","priority","title_type","genres","directors"
"Sci-Fi",2025,4.2,719,"Site","tt10278542",False,"movie","Drama - Horror - Sci-Fi","Jason Eric Perlman"
"Music",2025,5.2,1225,"Paradise Records","tt35168834",True,"movie","Action - Comedy - Music","Logic"
"Comedy",2025,5.2,1225,"Paradise Records","tt35168834",True,"movie","Action - Comedy - Music","Logic"
"Action",2025,5.2,1225,"Paradise Records","tt35168834",True,"movie","Action - Comedy - Music","Logic"
"Drama",2025,5.1,1646,"Xeno","tt27629220",True,"movie","Adventure - Drama - Mystery","Matthew Loren Oates"
"Action",2025,5.9,84093,"The Electric State","tt7766378",False,"movie","Action - Adventure - Comedy","Anthony Russo - Joe Russo"
"Adventure",2025,5.9,84093,"The Electric State","tt7766378",False,"movie","Action - Adventure - Comedy","Anthony Russo - Joe Russo"
"Comedy",2025,5.9,84093,"The Electric State","tt7766378",False,"movie","Action - Adventure - Comedy","Anthony Russo - Joe Russo"
"Horror",2025,6.7,168815,"The Gorge","tt13654226",False,"movie","Action - Adventure - Horror","Scott Derrickson"
"Adventure",2025,6.7,168815,"The Gorge","tt13654226",False,"movie","Action - Adventure - Horror","Scott Derrickson"
"Action",2025,6.7,168815,"The Gorge","tt13654226",False,"movie","Action - Adventure - Horror","Scott Derrickson"
"Music",2025,5.0,4122,"O'Dessa","tt26304178",True,"movie","Drama - Music - Musical","Geremy Jasper"
"Musical",2025,5.0,4122,"O'Dessa","tt26304178",True,"movie","Drama - Music - Musical","Geremy Jasper"
"Crime",2025,6.3,124035,"The Naked Gun","tt3402138",True,"movie","Action - Comedy - Crime","Akiva Schaffer"
"Comedy",2025,6.3,124035,"The Naked Gun","tt3402138",True,"movie","Action - Comedy - Crime","Akiva Schaffer"
"Action",2025,6.3,124035,"The Naked Gun","tt3402138",True,"movie","Action - Comedy - Crime","Akiva Schaffer"
"Drama",2025,7.3,231416,"Wake Up Dead Man","tt14364480",False,"movie","Comedy - Crime - Drama","Rian Johnson"
"Crime",2025,7.3,231416,"Wake Up Dead Man","tt14364480",False,"movie","Comedy - Crime - Drama","Rian Johnson"
"Comedy",2025,7.3,231416,"Wake Up Dead Man","tt14364480",False,"movie","Comedy - Crime - Drama","Rian Johnson"
"Music",2025,7.2,7225,"The Singers","tt33508491",False,"short","Comedy - Drama - Music","Sam A. Davis"
"Drama",2025,7.2,7225,"The Singers","tt33508491",False,"short","Comedy - Drama - Music","Sam A. Davis"
"Comedy",2025,7.2,7225,"The Singers","tt33508491",False,"short","Comedy - Drama - Music","Sam A. Davis"
"Drama",2025,5.6,68601,"Havoc","tt14123284",False,"movie","Action - Crime - Drama","Gareth Evans"
"Action",2025,7.3,36045,"The Eternaut","tt27740241",False,"tvSeries","Action - Adventure - Drama","Bruno Stagnaro"
"Mystery",2025,5.1,1646,"Xeno","tt27629220",True,"movie","Adventure - Drama - Mystery","Matthew Loren Oates"
"Adventure",2025,5.1,1646,"Xeno","tt27629220",True,"movie","Adventure - Drama - Mystery","Matthew Loren Oates"
"Crime",2025,5.6,68601,"Havoc","tt14123284",False,"movie","Action - Crime - Drama","Gareth Evans"
"Action",2025,5.6,68601,"Havoc","tt14123284",False,"movie","Action - Crime - Drama","Gareth Evans"
"Thriller",2025,5.1,937,"Killing Mary Sue","tt33504750",False,"movie","Action - Comedy - Thriller","James Sunshine"
"Comedy",2025,5.1,937,"Killing Mary Sue","tt33504750",False,"movie","Action - Comedy - Thriller","James Sunshine"
"Adventure",2025,7.0,35931,"Good Luck, Have Fun, Don't Die","tt1341338",False,"movie","Action - Adventure - Comedy","Gore Verbinski"
"Comedy",2025,7.0,35931,"Good Luck, Have Fun, Don't Die","tt1341338",False,"movie","Action - Adventure - Comedy","Gore Verbinski"
"Action",2025,5.1,937,"Killing Mary Sue","tt33504750",False,"movie","Action - Comedy - Thriller","James Sunshine"
"Comedy",2025,5.6,54221,"Anaconda","tt33244668",False,"movie","Action - Adventure - Comedy","Tom Gormican"
"Comedy",2025,8.1,63558,"The Studio","tt23649128",True,"tvSeries","Comedy - Drama","Seth Rogen - Evan Goldberg"
"Drama",2025,8.1,63558,"The Studio","tt23649128",True,"tvSeries","Comedy - Drama","Seth Rogen - Evan Goldberg"
"Horror",2025,5.8,52192,"Death of a Unicorn","tt28443655",True,"movie","Comedy - Fantasy - Horror","Alex Scharfman"
"Adventure",2025,5.6,54221,"Anaconda","tt33244668",False,"movie","Action - Adventure - Comedy","Tom Gormican"
"Action",2025,5.6,54221,"Anaconda","tt33244668",False,"movie","Action - Adventure - Comedy","Tom Gormican"
"Horror",2025,5.3,1614,"Queens of the Dead","tt32986431",False,"movie","Comedy - Horror","Tina Romero"
"Comedy",2025,5.3,1614,"Queens of the Dead","tt32986431",False,"movie","Comedy - Horror","Tina Romero"
