"tconst","start_year","average_rating","num_votes","primary_title","priority","title_type","genres","directors"
"tt7134096",2020,5.4,21334,"The Rhythm Section",False,"movie","Action - Drama - Mystery","Reed Morano"
"tt3794354",2020,6.5,192010,"Sonic the Hedgehog",False,"movie","Action - Adventure - Comedy","Jeff Fowler"
"tt8244784",2020,6.6,152497,"The Hunt",False,"movie","Action - Horror - Thriller","Craig Zobel"
"tt12789558",2021,7.2,117524,"Belfast",False,"movie","Biography - Drama","Kenneth Branagh"
"tt9373688",2021,4.8,6916,"Settlers",False,"movie","Drama - Sci-Fi - Thriller","Wyatt Rockefeller"
"tt10380900",2021,6.6,3599,"Petrov's Flu",False,"movie","Drama - Sci-Fi","Kirill Serebrennikov"
"tt5109280",2021,7.3,187331,"Raya and the Last Dragon",False,"movie","Action - Adventure - Animation","John Ripa - Paul Briggs - Don Hall - Carlos López Estrada"
"tt8368408",2021,6.1,55671,"Gunpowder Milkshake",True,"movie","Action - Crime - Thriller","Navot Papushado"
"tt8456190",2021,5.7,2047,"Seal Team",False,"movie","Action - Animation - Comedy","Kane Croudace - Greig Cameron"
"tt11083552",2021,7.1,237661,"Wrath of Man",False,"movie","Action - Crime - Thriller","Guy Ritchie"
"tt0993840",2021,5.8,200562,"Army of the Dead",False,"movie","Action - Adventure - Crime","Zack Snyder"
"tt15339456",2021,7.6,33727,"Marcel the Shell with Shoes On",False,"movie","Animation - Comedy - Drama","Dean Fleischer Camp"
"tt14315584",2021,6.8,5021,"Operation Hyacinth",False,"movie","Crime - Drama - Thriller","Piotr Domalewski"
"tt7144666",2021,6.9,262347,"The Black Phone",False,"movie","Horror - Mystery - Thriller","Scott Derrickson"
"tt10872600",2021,8.1,1015075,"Spider-Man: No Way Home",False,"movie","Action - Adventure - Fantasy","Jon Watts"
"tt10687506",2021,6.8,23758,"The Electrical Life of Louis Wain",True,"movie","Biography - Drama - History","Will Sharpe"
"tt1361336",2021,5.3,43130,"Tom & Jerry",False,"movie","Adventure - Animation - Comedy","Tim Story"
"tt6372694",2021,4.2,15692,"Prisoners of the Ghostland",False,"movie","Fantasy - Horror - Thriller","Sion Sono"
"tt26748538",2022,5.1,1448,"Mind Body Spirit",False,"movie","Horror","Matthew Merenda - Alex Henes"
"tt13314558",2022,6.1,98931,"Day Shift",False,"movie","Action - Comedy - Fantasy","J.J. Perry"
"tt12003946",2022,6.7,121073,"Violent Night",False,"movie","Action - Comedy - Thriller","Tommy Wirkola"
"tt7405458",2022,7.5,209749,"A Man Called Otto",False,"movie","Comedy - Drama","Marc Forster"
"tt9320184",2022,7.1,1271,"Blind Willow, Sleeping Woman",False,"movie","Animation - Drama - Sci-Fi","Pierre Földes"
